X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Firefox,600,null,null,973,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,450,null,null,974,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,975,null,null,957,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,1
Firefox,675,null,null,964,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,900,null,null,957,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,1
Firefox,1050,null,null,1006,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,1
Firefox,825,null,null,980,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,750,null,null,1012,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,525,null,null,998,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,525,null,null,992,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,1050,null,null,1046,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,975,null,null,973,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,1
Firefox,900,null,null,995,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,825,null,null,963,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,750,null,null,1013,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,450,null,null,1018,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,600,null,null,978,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,675,null,null,1034,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,900,null,null,964,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,1
Firefox,975,null,null,950,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Firefox,525,null,null,955,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,600,null,null,1028,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,750,null,null,998,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,red,0
Firefox,1050,null,null,1047,76,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,1
Firefox,450,null,null,957,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,675,null,null,1018,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,odd,0
Firefox,825,2019-09-03T20:24:52.080Z,"no surprise, I had the most difficulty when the times were closer together. the much shorter ones were easy. wasn't too many that much longer. would have liked to know how far off I was from time to time",1015,83,2019-09-03T20:09:31.476Z,A15781PHGW377Y,colorful,0
Chrome,1050,null,null,1009,83,2019-09-03T23:02:08.733Z,A15VCKELIEEPJN,odd,0
Chrome,900,null,null,1030,83,2019-09-03T23:02:08.733Z,A15VCKELIEEPJN,red,0
Chrome,825,null,null,950,83,2019-09-03T23:02:08.733Z,A15VCKELIEEPJN,red,0
Chrome,600,null,null,974,83,2019-09-03T23:02:08.733Z,A15VCKELIEEPJN,colorful,0
Chrome,750,null,null,954,76,2019-09-03T23:02:08.733Z,A15VCKELIEEPJN,colorful,1
