trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
0,Adi ,10,G ,B ,0,8,B ,G ,0,"[1, 0] ",4.5,0
1,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
2,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",4.5,0
3,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
4,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",4.5,0
5,Adi ,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",1.5,0
6,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
7,Adi ,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",1.5,0
8,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
9,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
10,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
11,Adi ,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",4.5,0
12,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
13,Adi ,10,B ,G ,0,13,G ,B ,0,"[1, 0] ",9,0
14,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",9,0
15,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",9,0
16,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
17,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
18,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",4.5,0
19,Adi ,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",1.5,0
20,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
21,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",4.5,0
22,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
23,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",4.5,0
24,Adi ,10,G ,B ,0,6,B ,G ,0,"[-1, 0] ",4.5,0
25,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
26,Adi ,10,B ,G ,0,12,G ,B ,0,"[-1, 0] ",9,0
27,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
28,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
29,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
30,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",4.5,0
31,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",1.5,0
32,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
33,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",4.5,0
34,Adi ,10,G ,B ,0,8,B ,G ,0,"[-1, 0] ",4.5,0
35,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
36,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
37,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
38,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
39,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",4.5,0
40,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",4.5,0
41,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
42,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",4.5,0
43,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
44,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
45,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
46,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
47,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
48,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",9,0
49,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",3,0
50,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
51,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",4.5,0
52,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
53,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
54,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
55,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
56,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
57,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",3,0
58,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",4.5,0
59,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",4.5,0
60,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
61,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",4.5,0
62,Adi ,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",9,0
63,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
64,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
65,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",1.5,0
66,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",3,0
67,Adi ,10,G ,B ,0,8,B ,G ,0,"[-1, 0] ",1.5,0
68,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
69,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
70,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
71,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
72,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
73,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
74,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
75,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
76,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",4.5,0
77,Adi ,10,B ,G ,0,13,G ,B ,0,"[1, 0] ",9,0
78,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
79,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",4.5,0
80,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
81,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
82,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
83,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
84,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",4.5,0
85,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
86,Adi ,10,B ,G ,0,14,G ,B ,0,"[1, 0] ",9,0
87,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",4.5,0
88,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",4.5,0
89,Adi ,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",9,0
90,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",4.5,0
91,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",4.5,0
92,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
93,Adi ,10,B ,G ,0,13,G ,B ,0,"[-1, 0] ",9,0
94,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",9,0
95,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",4.5,0
96,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
97,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
98,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
99,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
100,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",4.5,0
101,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
102,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",4.5,0
103,Adi ,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",1.5,0
104,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",3,0
105,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",4.5,0
106,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
107,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
108,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
109,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",4.5,0
110,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",1.5,0
111,Adi ,10,B ,G ,0,12,G ,B ,0,"[-1, 0] ",9,0
112,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
113,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",3,0
114,Adi ,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",3,0
115,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
116,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
117,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",4.5,0
118,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
119,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
120,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",4.5,0
121,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
122,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",1.5,0
123,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",4.5,0
124,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
125,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
126,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",4.5,0
127,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",4.5,0
128,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
129,Adi ,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",9,0
130,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",1.5,0
131,Adi ,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",9,0
132,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
133,Adi ,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",1.5,0
134,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
135,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
136,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
137,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
138,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
139,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
140,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",4.5,0
141,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",9,1
142,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
143,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
144,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",9,0
145,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",4.5,0
146,Adi ,10,G ,B ,0,8,B ,G ,0,"[-1, 0] ",4.5,0
147,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
148,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
149,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
150,Adi ,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
151,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
152,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",4.5,0
153,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",4.5,0
154,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",4.5,0
155,Adi ,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",1.5,0
156,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
157,Adi ,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",3,0
158,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
159,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
160,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
161,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
162,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
163,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
164,Adi ,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",9,0
165,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",4.5,0
166,Adi ,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",3,0
167,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
168,Adi ,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",4.5,0
169,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",4.5,0
170,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
171,Adi ,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",4.5,0
172,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
173,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",4.5,0
174,Adi ,10,G ,B ,0,8,B ,G ,0,"[-1, 0] ",1.5,0
175,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
176,Adi ,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",4.5,0
177,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",4.5,0
178,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
179,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",4.5,0
180,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
181,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
182,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
183,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
184,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
185,Adi ,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",4.5,0
186,Adi ,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",9,0
187,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
188,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",4.5,0
189,Adi ,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
190,Adi ,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
191,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
192,Adi ,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",3,0
193,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
194,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
195,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
196,Adi ,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
197,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",4.5,0
198,Adi ,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",4.5,0
199,Adi ,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",3,0
200,Adi ,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",1.5,0
201,Adi ,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",1.5,0
202,Adi ,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
203,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
204,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
205,Adi ,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",3,0
206,Adi ,10,B ,G ,0,12,G ,B ,0,"[-1, 0] ",9,0
207,Adi ,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",9,0
208,Adi ,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
209,Adi ,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",1.5,0
210,Adi ,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",4.5,0
211,Adi ,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
212,Adi ,10,B ,G ,0,12,G ,B ,0,"[-1, 0] ",3,0
213,Adi ,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
214,Adi ,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
215,Adi ,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",9,0
216,Adi ,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
