browser,duration,endTime,feedback,isi,judgment,startTime,subjectID,type
Safari,450,null,null,951,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,525,null,null,979,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,750,null,null,986,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,825,null,null,966,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,900,null,null,1023,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,675,null,null,1004,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,975,null,null,963,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,600,null,null,1017,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,1050,null,null,1032,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,750,null,null,980,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,975,null,null,1023,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,825,null,null,1025,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,525,null,null,1047,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,900,null,null,1004,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,675,null,null,1016,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,1050,null,null,950,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,450,null,null,982,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,600,null,null,989,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,900,null,null,966,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,675,null,null,960,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,600,null,null,980,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,825,null,null,1034,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,975,null,null,961,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,spikey
Safari,1050,null,null,1036,76,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,525,null,null,969,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,odd
Safari,450,null,null,993,83,2019-07-01T14:28:22.289Z,AF17OQDFLMSDH,red
Safari,1050,null,null,1035,76,2019-07-01T15:13:33.850Z,AA4HGW9K7EULC,spikey
